key,canvasId,title,dueDate,type,assignmentGroup,points,canvasType,quizType,sprint,week,htmlFile,briefing,submissionTypes,allowedExtensions
s1-self-assessment,144469,S1: Skills Self-Assessment,2026-01-22,quiz,Sprint 1: Goal Setting,10,quiz,graded_survey,1,1,assignments/s1-w1-skills-self-assessment.html,Rate yourself honestly across 8 SDL dimensions. This becomes your baseline — you'll compare against it in every sprint. Accuracy matters more than looking good.,,
s1-reflection-1,144470,S1: Productive Reflection #1,2026-01-24,reflection,Sprint 1: Productive Reflections,5,quiz,graded_survey,1,1,assignments/s1-w1-productive-reflection.html,Your first reflection captures where you think you are. The value comes later when you compare this to where you actually end up.,,
s1-skills-revision,144730,S1: Skills Assessment Revision,2026-01-29,quiz,Sprint 1: Goal Setting,5,quiz,graded_survey,1,2,assignments/s1-w2-skills-revision.html,"After a week of class, revisit your self-assessment. What did you rate too high? Too low? The revision is evidence of metacognition.",,
s1-five-whys,570032,S1: 5 Whys Analysis,2026-01-29,assignment,Sprint 1: Goal Setting,5,assignment,,1,2,assignments/s1-w2-five-whys.html,Apply 5 Whys to one skill gap you identified. Surface-level answers sound like 'I need to practice more.' Real root causes sound like 'I avoid situations where this skill matters.',,
s1-reflection-2,570068,S1: Productive Reflection #2,2026-01-31,reflection,Sprint 1: Productive Reflections,5,assignment,,1,2,assignments/s1-w2-productive-reflection.html,"Handwritten reflection on what shifted this week. If you're writing what you think the instructor wants to hear, start over.",,
s1-sprint-plan,144791,S1: Sprint Plan v1,2026-02-07,quiz,Sprint 1: Goal Setting,5,quiz,graded_survey,1,3,assignments/s1-w3-sprint-plan.html,Your plan for developing one skill over the sprint. The plan itself matters less than whether you can explain why you chose this sequence of steps.,,
s1-learning-log,144792,S1: Learning Log (Week 3),2026-02-07,quiz,Sprint 1: Productive Reflections,5,quiz,graded_survey,1,3,assignments/s1-w3-learning-log.html,Document what you actually did this week versus what you planned. The gap between plan and reality is the most useful data in this course.,,
s1-reflection-3,144793,S1: Productive Reflection #3,2026-02-09,reflection,Sprint 1: Productive Reflections,5,quiz,graded_survey,1,3,assignments/s1-w3-productive-reflection.html,"Third reflection — what's your honest assessment of whether your sprint plan is working? If it isn't, what would you change?",,
s1-demo-discussion,582107,S1: Sprint 1 Demo Discussion,2026-02-11,quiz,Sprint 1: Demonstration,10,assignment,,1,4,activities/sprint-1-demo.html,Present your growth arc to your group. Not what you did — what changed in how you think about this skill. Evidence required.,,
s2-bridge-reflection-1,582108,S2: Sprint 1-2 Bridge Reflection,2026-02-12,reflection,Sprint 2: Productive Reflections,5,assignment,,2,4,assignments/s2-w5-bridge-reflection.html,"What actually worked in Sprint 1? What was just going through the motions? Carry the real lessons forward, drop the performance.",,
s2-orientation,582109,S2: Sprint 2 Orientation,2026-02-14,quiz,Sprint 2: Goal Setting,5,assignment,,2,4,activities/s2-orientation.html,Sprint 2 adds external accountability — your group. The orientation explains why this changes the dynamic.,,
s2-goal-setting,582110,S2: Sprint 2 Goal Setting,2026-02-16,assignment,Sprint 2: Goal Setting,10,assignment,,2,4,assignments/s2-w5-goal-setting.html,"Set goals that build on Sprint 1 findings. If you're picking the same goal with the same plan, ask why Sprint 1 didn't work.",,
s2-group-rules,582790,S2: Group Rules & Check-in Plan,2026-02-19,assignment,Sprint 2: Check-in/Engagement,5,assignment,,2,5,assignments/s2-w5-group-rules.html,Establish how your group will hold each other accountable. Vague rules produce vague accountability.,,
s2-reflection-4,582791,S2: Productive Reflection #4,2026-02-21,reflection,Sprint 2: Productive Reflections,5,assignment,,2,5,assignments/s2-w5-productive-reflection.html,First group-context reflection. How does having others watching change your effort? Be honest about whether it helps or creates pressure to perform.,,
s2-evidence-design,582792,S2: Evidence Design — What Will You Demonstrate?,2026-02-23,assignment,Sprint 2: Goal Setting,5,assignment,,2,5,assignments/s2-w5-evidence-design.html,"Design what evidence of growth will look like for your specific goal. If you can't describe it concretely, your goal may be too vague.",,
s2-triad-checkin-1,582793,S2: Triad Check-in #1,2026-02-26,assignment,Sprint 2: Check-in/Engagement,5,assignment,,2,6,assignments/s2-w6-triad-checkin.html,"First structured check-in with your group. Share progress honestly — what you did, what you skipped, what surprised you.",,
s2-reflection-5,582794,S2: Productive Reflection #5,2026-02-28,reflection,Sprint 2: Productive Reflections,5,assignment,,2,6,assignments/s2-w6-productive-reflection.html,"What's different about how you're approaching your goal compared to Sprint 1? If nothing changed, that's worth examining.",,
s2-networking-prep,582795,S2: Networking Event Preparation,2026-03-02,assignment,Sprint 2: Check-in/Engagement,5,assignment,,2,6,assignments/s2-w6-networking-prep.html,Prepare for the networking event. Come with questions that test your assumptions about what the industry actually values.,,
s2-networking-report,582796,S2: Networking Event Report,2026-03-05,assignment,Sprint 2: Check-in/Engagement,10,assignment,,2,7,assignments/s2-w7-networking-report.html,"What did you learn from professionals that challenged or confirmed your assumptions? Specific quotes or moments, not vague takeaways.",,
s2-reflection-6,582797,S2: Productive Reflection #6,2026-03-07,reflection,Sprint 2: Productive Reflections,5,assignment,,2,7,assignments/s2-w7-productive-reflection.html,Post-networking reflection. Did anything you heard change your Sprint 2 goal or approach?,,
s2-demo-slides,582798,S2: Demo Slide Builder,2026-03-09,assignment,Sprint 2: Demonstration,5,assignment,,2,7,assignments/s2-w7-demo-slides.html,"Build your demo around evidence, not claims. Each slide should show something observable, not just say you grew.",,
s2-demo,582799,S2: Demonstration with Evidence,2026-03-11,assignment,Sprint 2: Demonstration,10,assignment,,2,8,assignments/s2-w8-demo.html,Present growth evidence to your combined group. The audience looks for the gap between what you claim and what you show — prepare for that.,,
s2-peer-eval,582800,S2: Peer Evaluation,2026-03-11,assignment,Sprint 2: Check-in/Engagement,5,assignment,,2,8,assignments/s2-w8-peer-eval.html,Observe other demos. Use the NOTICE/INTERPRET/ASK framework. Your observations help others see what they can't see about themselves.,,
s2-bridge-reflection-2,582801,S2: Sprint 2→3 Bridge Reflection,2026-03-12,reflection,Sprint 2: Productive Reflections,5,assignment,,2,8,assignments/s2-w8-bridge-reflection.html,"Five claims about what this course has taught you so far. Connect each to specific moments, not general feelings.",,
s2-claims-discussion,585103,S2: Claims in Practice,2026-03-13,ai-discussion,Sprint 2: Check-in/Engagement,5,assignment,,2,8,assignments/s2-w8-claims-discussion.html,AI-structured conversation pushing you to find real evidence for each claim. The AI won't let you get away with vague assertions.,,
s3-info-diet-audit,586015,S3: Information Diet Audit + First Signal,2026-03-19,assignment,Sprint 3: Goal Setting,5,assignment,,3,9,assignments/s3-w9-info-diet-audit.html,"Document what you actually consume, not what you wish you consumed. The patterns you find are the starting point for change.",,
s3-reflection-7,586014,S3: Productive Reflection #7,2026-03-20,reflection,Sprint 3: Productive Reflections,5,assignment,,3,9,assignments/s3-w9-reflection.html,What did your audit reveal that surprised you? Not what you wish your diet looked like — what does the actual pattern tell you about what you've been paying attention to?,,
s3-goal-setting,586016,S3: Sprint 3 Goal Setting,2026-03-23,assignment,Sprint 3: Goal Setting,5,assignment,,3,9,assignments/s3-w9-goal-setting.html,"Three commitments: your focus area, your intake targets, and first-attempt answers to the questions your Futures Brief will answer.",,
s3-w10-checkin,586958,S3: Goal Check-In Week 10,2026-03-25,assignment,Sprint 3: Check-in/Engagement,5,assignment,,3,10,assignments/s3-w10-goal-checkin.html,"First honest check against your Sprint 3 goals. Update your intake numbers, name a new source, and track how your three questions are evolving.",,
s3-reflection-8,586959,S3: Productive Reflection #8,2026-03-27,reflection,Sprint 3: Productive Reflections,5,assignment,,3,10,assignments/s3-w10-productive-reflection.html,What did you consume this week that you wouldn't have before this sprint? Name the source. What surprised you? If nothing new — what got in the way?,,
s3-w11-checkin,586960,S3: Goal Check-In Week 11,2026-04-08,assignment,Sprint 3: Check-in/Engagement,5,assignment,,3,11,assignments/s3-w11-goal-checkin.html,Second check-in. Same structure as Week 10 but the bar is higher — has anything you consumed actually changed something you think or do?,,
s3-w11-codesign,588225,Sprint 4 Co-Design Activity,2026-04-08,activity,Sprint 3: Check-in/Engagement,10,assignment,,3,11,activities/s3-w11-codesign.html,,,
s3-reflection-9,586961,S3: Productive Reflection #9,2026-04-10,reflection,Sprint 3: Productive Reflections,5,assignment,,3,11,assignments/s3-w11-productive-reflection.html,The transfer test: can you point to something specific you believe differently now because of what you read or listened to this sprint?,,
s3-demo-discussion,588226,S3: Sprint 3 Demo Discussion,2026-04-15,ai-discussion,Sprint 3: Demonstration,10,assignment,,3,12,activities/sprint-3-demo.html,"Demo Day. Your partner enters your handwritten responses, formulates follow-up questions, and you discuss face-to-face. The conversation is the assessment.",,
s4-w13-retrospective,,S4: Three-Sprint Retrospective,2026-04-24,assignment,Sprint 4: Diagnosis,20,assignment,,4,13,assignments/s4-w13-three-sprint-retrospective.html,Honestly evaluate your growth across 8 SDL dimensions over Sprints 1-3. No AI — this is your own self-assessment.,online_upload,pdf
s4-w13-gap-statement,,S4: Gap Statement,2026-04-24,assignment,Sprint 4: Diagnosis,20,assignment,,4,13,assignments/s4-w13-gap-statement.html,Identify one real gap from Sprints 1-3 that becomes your Sprint 4 focus. Be specific — vague gaps get rejected.,online_upload,pdf
s4-lookback-1-five-whys,,"S4: Look-back 1 — 5 Whys (Extra Credit)",2026-04-28,assignment,Extra Credit: Look Back,10,assignment,,4,13,assignments/s4-w13-lookback-1-five-whys.html,Extra credit recovery. Revisit your Sprint 1 5 Whys honestly. Check-in with Prof. Sathya in class to get credit for this submission.,online_upload,pdf
