key,canvasId,title,dueDate,type,assignmentGroup,points,canvasType,quizType,sprint,week,htmlFile,briefing
s1-superagency-challenge,564067,S1: Superagency Challenge,2026-01-21,assignment,Sprint 1: Goal Setting,5,assignment,textbox,1,1,assignments/s1-w1-superagency-challenge.html,"Pick something you've wanted to change but felt was beyond you. This choice drives the entire sprint — the more honest you are here, the more useful every assignment after this becomes."
s1-reflection-1,564070,S1: Productive Reflection #1,2026-01-24,reflection,Sprint 1: Productive Reflections,5,assignment,textbox,1,1,assignments/s1-w1-productive-reflection.html,"Your first reflection captures your starting assumptions. You'll look back at this in Week 4 and see how much your thinking changed — that delta is the point."
s1-problem-analysis,144732,S1: Problem Analysis (5 Whys),2026-01-28,quiz,Sprint 1: Goal Setting,5,quiz,graded_survey,1,2,assignments/s1-w2-five-whys.html,"The first answer to 'why' is almost never the real answer. This analysis changes what you build — students who rush it build solutions to the wrong problem."
s1-reflection-2,144734,S1: Productive Reflection #2,2026-01-30,quiz,Sprint 1: Productive Reflections,5,quiz,graded_survey,1,2,assignments/s1-w2-productive-reflection.html,"Handwritten reflection after the 5 Whys session. What shifted? If nothing shifted, that's worth examining too — it might mean you didn't push hard enough."
s1-solution-architecture,144733,S1: Solution Architecture,2026-02-02,quiz,Sprint 1: Productive Reflections,5,quiz,graded_survey,1,3,assignments/s1-w3-solution-architecture.html,"You're turning your root cause into a design. The key question: what's the human process that needs to change, and where exactly can technology reduce friction?"
s1-w3-design-decision,144806,S1: Design Decision Analysis,2026-02-07,quiz,Sprint 1: Check-in/Engagement,5,quiz,graded_survey,1,3,activities/design-decision-analysis.html,"Document one key design decision and why you made it. This becomes demo material — employers want to see how you decided, not just what you produced."
s1-w3-dojo-depth,144807,S1: Dojo Depth Session,2026-02-08,quiz,Sprint 1: Productive Reflections,5,quiz,graded_survey,1,3,assignments/s1-w3-dojo-depth.html,"Take your solution through the Dojo. The AI pushes on whether your solution addresses the root cause you found or just the surface symptom you started with."
s1-w3-reflection,144808,S1: Productive Reflection #3,2026-02-09,quiz,Sprint 1: Productive Reflections,5,quiz,graded_survey,1,3,assignments/s1-w3-productive-reflection.html,"What's working, what isn't, and what you'd change. The Build Log from this week produces the deepest thinking in the dataset — give it real attention."
s1-demo-discussion,582111,S1: Sprint 1 Demo Discussion,2026-02-11,quiz,Sprint 1: Demonstration,10,assignment,,1,4,activities/sprint-1-demo.html,"Show the arc: problem → 5 Whys → root cause → solution → what you learned. The demo tells a story about how your thinking changed, not just what you built."
s2-bridge-reflection-1,582112,S2: Sprint 1-2 Bridge Reflection,2026-02-12,reflection,Sprint 2: Productive Reflections,5,assignment,,2,4,assignments/s2-w5-bridge-reflection.html,"Sprint 1 was your problem. Sprint 2 is someone else's. This reflection bridges the two — what habit from Sprint 1 do you need to carry forward?"
